schema_version	family	classification	subject_kind	rationale
vNext	ActivityPreview	deterministic_exclusion	none	bounded_projection_history_no_external_effect
vNext	AgentBrowserActionIntent	bundle	agent_browser_action	possible_browser_effect
vNext	AgentBrowserActionReceipt	bundle	agent_browser_action	possible_browser_effect
vNext	AgentBrowserControlGrant	deterministic_exclusion	none	revoked_on_owner_end
vNext	AgentInstance	bundle	node_aggregate	eligible_live_or_external_identity_slice
vNext	AgentMessageDeliveryReceipt	bundle	effect_delivery	possible_destination_write
vNext	AgentMessageDeliveryView	bundle	effect_delivery	possible_destination_write
vNext	AgentMessageEffectIntent	bundle	effect_delivery	possible_destination_write
vNext	AgentTopologyObservation	deterministic_exclusion	none	folds_to_node_edges_without_external_effect
vNext	BrowserDownloadQuarantine	bundle	browser_download_quarantine	retained_descriptor_or_transfer_ambiguity
vNext	BrowserNavigationIntent	bundle	browser_navigation	possible_renderer_or_network_effect
vNext	BrowserNodeCreationIntent	bundle	browser_node_creation	possible_graph_renderer_or_network_effect
vNext	BulkIdleRestartInstanceReceipt	bundle	bulk_idle_restart	coordinates_possible_lifecycle_effect
vNext	BulkIdleRestartIntent	bundle	bulk_idle_restart	coordinates_possible_lifecycle_effect
vNext	BulkIdleRestartReceipt	bundle	bulk_idle_restart	coordinates_possible_lifecycle_effect
vNext	CheckoutScope	deterministic_exclusion	none	separate_scope_nonreuse_and_cleanup_fences
vNext	CheckoutScopeBinding	deterministic_exclusion	none	separate_scope_nonreuse_and_cleanup_fences
vNext	CommitProposal	bundle	commit_proposal	possible_helper_or_broker_effect
vNext	CommitProposalRevision	bundle	commit_proposal	possible_helper_or_broker_effect
vNext	CompanionAgentLaunchGrant	deterministic_exclusion	none	revoked_on_owner_end
vNext	CompanionAgentLaunchIntent	bundle	companion_agent_launch	possible_checkout_graph_or_launch_effect
vNext	CompanionAgentLaunchReceipt	bundle	companion_agent_launch	possible_checkout_graph_or_launch_effect
vNext	ContextLink	deterministic_exclusion	none	revoked_or_suspended_on_owner_end
vNext	ContextPacketDeliveryReceipt	bundle	effect_delivery	possible_destination_write
vNext	ContextPacketDeliveryView	bundle	effect_delivery	possible_destination_write
vNext	ContextPacketEffectIntent	bundle	effect_delivery	possible_destination_write
vNext	ContextReadAudit	deterministic_exclusion	none	terminal_audit_no_pending_external_effect
vNext	ContextScope	deterministic_exclusion	none	authority_revoked_deterministically
vNext	ContextUsageSnapshot	deterministic_exclusion	none	observation_only
vNext	ConversationAdoptionReceipt	bundle	node_aggregate	exact_external_conversation_identity
vNext	ConversationBinding	bundle	node_aggregate	exact_external_conversation_identity
vNext	ConversationProfileRebindReceipt	deterministic_exclusion	none	atomic_terminal_local_CAS
vNext	DelegationExerciseReceipt	deterministic_exclusion	none	terminal_authority_audit
vNext	DelegationGrant	deterministic_exclusion	none	revoked_on_owner_end
vNext	DependencyEdge	deterministic_exclusion	none	workspace_relationship_terminalises_to_deterministic_history_without_independent_effect
vNext	DependencyResult	bundle	flow_run	run_owned_dependency_state
vNext	DisplayNameFact	deterministic_exclusion	none	metadata_only
vNext	DocumentPrintIntent	bundle	document_print	possible_native_print_effect
vNext	DocumentPrintReceipt	bundle	document_print	possible_native_print_effect
