# product-capability-coverage-version: 1
# source-snapshot: 130cdc24bb493349d9b3f3c531198b7bb5fec3df
# source-tree-sha256: 721e0b9538fb8225f8c773b904b1e98c388ea3e518ad818e9ce3e5f0d8dde3ce
# source-tree-digest-algorithm: sha256(git ls-tree -r --full-tree source-snapshot)
# digest-algorithm: sha256(raw bytes of evidence_locator at source-snapshot)
# dispositions: adopted adapted rejected irrelevant
# expected-feature-count: 112
feature_id	capability_key	description	disposition	requirement	acceptance	decision	evidence_locator	evidence_sha256	rationale
CAP-001	canonical_operator_map	Visual organisation of concurrent terminal and agent work with durable placement and grouping.	adapted	PRD-HIE-001	ACP-HIE-001	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	Turn keeps the navigable tree and one selected WorkSurface authoritative instead of adopting a spatial topology authority.
CAP-002	unique_node_views	Selection opens the exact terminal, agent, resource or project content without duplicating its runtime.	adapted	PRD-VIE-001	ACP-VIE-001	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	The source keeps several live node surfaces on a spatial canvas; Turn adapts their distinct content into one canonical selected ViewTarget and WorkSurface while preserving each runtime.
CAP-003	persistent_terminal_runtime	Terminal processes remain attached to durable sessions across view unmount and application restart.	adopted	PRD-RUN-002	ACP-RUN-002	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	Warm process continuity is essential for unattended agentic work.
CAP-004	restart_recovery	Saved work recovers after UI restart, daemon restart, disconnect and host reboot with truthful continuity labels.	adopted	PRD-LIF-004	ACP-LIF-004	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	Recovery is retained while Turn distinguishes reattachment from cold reconstruction.
CAP-005	generic_terminal_fidelity	Shells, TUIs, services and logs retain complete terminal behavior alongside agent-aware processes.	adopted	PRD-RUN-004	ACP-RUN-004	ADR-059	src/core/pty-manager.ts	bb0690c26ef66658b48a37e5d7c93cf4d4d1169b1cfe66421739d1f8508ae2c8	Generic terminal work is a first-class workload rather than an agent fallback.
CAP-006	semantic_agent_views	Agent nodes expose status, transcript, task, children, context, result and safe controls.	adopted	PRD-VIE-004	ACP-VIE-004	ADR-059	README.md	3c7292e6b29ac887a282c99bce67b76ec81cf161f8227f8856bd2aee4ad9be60	Semantic agent information is retained in a unique WorkSurface.
CAP-007	nested_groups	Groups form a recursively nestable, cycle-free hierarchy with stable order and explicit reparent semantics.	adopted	PRD-HIE-009	ACP-HIE-009	ADR-065	src/renderer/state/workspace.ts	7de572f2aaa302d7088bdb8aab5bf9417382c266382e74572474149852170e97	The source implements recursive same-parent grouping, reparenting and cycle guards; Turn adopts that organisation while keeping Group presentation separate from runtime and CheckoutScope ownership.
CAP-008	group_checkout_binding	A group can bind its descendants to an exact repository worktree without changing runtime ancestry.	adapted	PRD-HIE-009	ACP-HIE-009	ADR-065	src/renderer/components/WorktreeDialog.tsx	397f39c77a4a66a40713a877fb565d975f68d99aa7cdf92cfd7b98cbc83ad4d3	Turn models this as a typed CheckoutScopeBinding on a Session group and never lets it occupy primary main.
CAP-009	sticky_note_context	A bounded note resource can be reviewed and linked as explicit agent context.	adopted	PRD-CTX-012	ACP-CTX-012	ADR-063	src/renderer/nodes/StickyNode.tsx	427e90e225326e2c53e7a00fcd24c536a7d147d4821fcd9f074281097a5fc994	Useful operator-authored briefs are preserved without turning content into authority.
CAP-010	revisioned_editor	Files open in a first-class editor with revision-aware atomic save and conflict recovery.	adopted	PRD-RUN-010	ACP-RUN-010	ADR-063	src/renderer/nodes/EditorNode.tsx	1355ddf8f44686c0123ad8f0e50687c2d0e58331a0b6ef81801229edbf8730bc	Editing remains bound to the exact file backend, root and target.
