# product-capability-source-mapping-version: 1
# source-snapshot: 130cdc24bb493349d9b3f3c531198b7bb5fec3df
# expected-candidate-count: 1386
# expected-mapping-count: 2188
# resolutions: mapped supporting
# mapping-bases: ledger_evidence closed_registry manual_source_audit supporting_module_audit
mapping_id	candidate_id	resolution	feature_id	feature_disposition	mapping_basis	candidate_rationale
MAP-0001	CEN-0001	mapped	CAP-001	adapted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-001 (canonical_operator_map); normalized mappings record other responsibilities separately.
MAP-0002	CEN-0001	mapped	CAP-002	adapted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-002 (unique_node_views); normalized mappings record other responsibilities separately.
MAP-0003	CEN-0001	mapped	CAP-003	adopted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-003 (persistent_terminal_runtime); normalized mappings record other responsibilities separately.
MAP-0004	CEN-0001	mapped	CAP-004	adopted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-004 (restart_recovery); normalized mappings record other responsibilities separately.
MAP-0005	CEN-0001	mapped	CAP-006	adopted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-006 (semantic_agent_views); normalized mappings record other responsibilities separately.
MAP-0006	CEN-0001	mapped	CAP-036	adopted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-036 (native_resume_continuity); normalized mappings record other responsibilities separately.
MAP-0007	CEN-0001	mapped	CAP-037	adopted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-037 (explicit_conversation_branch); normalized mappings record other responsibilities separately.
MAP-0008	CEN-0001	mapped	CAP-054	adapted	ledger_evidence	README.md is the frozen ledger evidence anchor for CAP-054 (focus_safe_attention_navigation); normalized mappings record other responsibilities separately.
MAP-0009	CEN-0002	supporting	CAP-058	adopted	supporting_module_audit	docs/SERVER.md is an audited supporting product document for CAP-058 (browser_operator_surface) and adds no independent capability beyond its primary evidence or closed registry surfaces.
MAP-0010	CEN-0003	supporting	CAP-023	adopted	supporting_module_audit	docs/codex-shared-identity.md is an audited supporting product document for CAP-023 (six_dedicated_agent_adapters) and adds no independent capability beyond its primary evidence or closed registry surfaces.
