schema_version	name	declaration_class	lifetime	stream_owner	owner_key
vNext	AccountActivityProjection	state_family	durable	ExecutionTarget	ExecutionTarget(daemon_generation,ExecutionTargetId,target_generation)
vNext	AccountAuthenticationIntent	state_family	durable	Installation	Installation(daemon_generation)
vNext	AccountProfile	state_family	durable	Installation	Installation(daemon_generation)
vNext	ActivityPreview	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentBrowserActionIntent	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentBrowserActionReceipt	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentBrowserControlGrant	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentBrowserReadPage	request_value	request_value	request	none
vNext	AgentInstance	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentMessageAdHocDraft	state_family	ephemeral	ephemeral	ConnectionGeneration+SurfaceId+AgentMessageId
vNext	AgentMessageDeliveryReceipt	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentMessageDeliveryView	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentMessageEffectIntent	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	AgentMessageQueuedBody	state_family	ephemeral	ephemeral	DaemonGeneration+WorkspaceId+AgentMessageDeliveryId+DestinationAgentInstanceId+DestinationAttemptGeneration
vNext	AgentTopologyObservation	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	Announcement	state_family	durable	Installation	Installation(daemon_generation)
vNext	AnnouncementDismissal	state_family	durable	Installation	Installation(daemon_generation)
vNext	AnnouncementHighWater	state_family	durable	Installation	Installation(daemon_generation)
vNext	AttentionAudioCue	state_family	ephemeral	ephemeral	LocalClientInstanceId+AttentionSubject+SubjectRevision+CueGeneration
vNext	AttentionEntry	state_family	durable	Installation	Installation(daemon_generation)
vNext	AttentionQueue	state_family	durable	Installation	Installation(daemon_generation)
vNext	AttentionQueueOrder	state_family	durable	Installation	Installation(daemon_generation)
vNext	AttentionRouteMutationReceipt	state_family	durable	Installation	Installation(daemon_generation)
vNext	AuxiliaryWorker	state_family	ephemeral	ephemeral	DaemonGeneration+AuxiliaryWorkerOwnerKey+WorkerGeneration
vNext	BrowserDownloadQuarantine	state_family	durable	Workspace	Workspace(daemon_generation,WorkspaceId)
vNext	BrowserHistory	state_family	ephemeral	ephemeral	DaemonGeneration+WorkspaceId+BrowserNodeId+PartitionId+PartitionGeneration
vNext	BrowserLocalSnapshot	state_family	ephemeral	ephemeral	DaemonGeneration+WorkspaceId+BrowserNodeId+PartitionId+PartitionGeneration+SnapshotId
