schema_version	subject_kind	key_schema	required_fences	family_bundle	eligibility_predicate	reservation_rule	success_transfer	release_proof
vNext	agent_browser_action	AgentBrowserActionIntentId	intent_revision+grant_revision+AgentInstanceId+RuntimeAttemptId+AttemptGeneration+binding_generation+BrowserNodeId+partition_generation+navigation_revision+typed_payload_hash	AgentBrowserActionIntent,AgentBrowserActionReceipt	dispatching_or_possible_effect_or_reconcile_required	allocate_before_canonical_action	child_browser_operation_inherits_agent_browser_action	applied_or_proved_no_effect_and_child_journal_replay_durable
vNext	browser_download_quarantine	BrowserDownloadQuarantineId	quarantine_revision+BrowserNodeId+partition_generation+navigation_revision+response_identity+descriptor_generation+sealed_size_type_hash+ownership_transfer_generation	BrowserDownloadQuarantine	receiving_or_sealed_or_transferring_or_reconcile_required	allocate_before_body_byte_one	transfer_to_transfer_on_ticket_handoff	discard_or_expiry_proved_and_descriptor_quiescent_and_replay_durable
vNext	browser_navigation	BrowserNavigationIntentId	intent_revision+BrowserNodeId+partition_generation+navigation_revision+policy_generation+source_generation+renderer_correlation	BrowserNavigationIntent	dispatching_or_dispatched_unconfirmed_or_reconcile_required	allocate_before_load_or_inherit(agent_browser_action)	none	applied_or_no_effect_proved_and_renderer_quiescent_and_replay_durable
vNext	browser_node_creation	BrowserNodeCreationIntentId	intent_revision+source_identity_revision+policy_generation+preassigned_NodeId+PartitionId+partition_generation+destination_graph_revisions+renderer_correlation	BrowserNodeCreationIntent	dispatching_or_reconcile_required	allocate_before_graph_or_renderer_effect_or_inherit(agent_browser_action)	none	created_inert_or_not_created_proved_and_replay_durable
vNext	bulk_idle_restart	BulkIdleRestartIntentId	intent_revision+preview_revision_digest+Workspace_policy_inventory_Attention_interaction_input_lease_revisions+ordered_candidate_digest+restart_operation_ids	BulkIdleRestartIntent,BulkIdleRestartReceipt,BulkIdleRestartInstanceReceipt	running_or_cancelling_or_reconcile_required	allocate_before_first_stop	each_child_uses_canonical_runtime_lifecycle_rule_and_never_inherits_bulk_coordinator	all_child_receipts_terminal_and_replay_durable
vNext	commit_proposal	CommitProposalId	proposal_revision+RepositoryAuthority+RepositoryId+repository_revision+staged_index_revision_hash+provider_profile_revision+CommitProposalAttemptId+AttemptGeneration	CommitProposal,CommitProposalRevision,CommitProposalAttempt	generating_or_attempt_dispatching_or_cleanup_or_ambiguous	allocate_before_helper_or_broker_effect	workspace_delete_moves_same_reservation	terminal_and_helper_broker_quiescent_and_replay_durable
vNext	companion_agent_launch	CompanionAgentLaunchIntentId	intent_revision+grant_revision+Workspace_Session_target_trust_template_account_adapter_catalogue_checkout_revisions+preassigned_NodeId_AgentInstanceId_RuntimeAttemptId_CheckoutScopeId+graph_runtime_checkout_correlations	CompanionAgentLaunchIntent,CompanionAgentLaunchReceipt	provisioning_or_launching_or_reconcile_required	allocate_before_checkout_process_or_graph	runtime_launch_inherits_then_created_live_transfers_to_node_aggregate	refused_or_failed_and_all_child_fences_quiescent
vNext	document_print	DocumentPrintIntentId	intent_revision+DocumentViewId+source_blob_page_layout_revisions+printer_capability_digest+review_digest+SpoolGeneration+native_print_correlation	DocumentPrintIntent,DocumentPrintReceipt	spooling_or_dispatching_or_submitted_unconfirmed_or_reconcile_required	allocate_before_spool_or_native_print	none	printed_or_not_printed_proved_and_spool_quiescent_and_replay_durable
vNext	eco_hibernate	EcoHibernateIntentId	intent_revision+AgentInstanceId+RuntimeAttemptId+AttemptGeneration+Session_revision+multiplexer_scrollback_policy_eligibility_revisions+runtime_correlation	EcoHibernateIntent,EcoHibernateReceipt	exiting_or_hibernated_or_waking_or_reconcile_required	inherit(node_aggregate)_before_exit_or_wake	none	cancelled_or_ineligible_or_awake_or_failed_and_runtime_quiescent_and_replay_durable
vNext	effect_delivery	context(ContextPacketDeliveryId)_or_message(AgentMessageDeliveryId)	intent_receipt_view_revisions+target_or_destination_attempt_generation+content_hash+write_correlation	ContextPacketDeliveryView,ContextPacketEffectIntent,ContextPacketDeliveryReceipt,AgentMessageDeliveryView,AgentMessageEffectIntent,AgentMessageDeliveryReceipt	accepted_delivery_with_possible_write_or_reconcile_required	allocate_before_first_possible_write	none	definite_pre_write_invalidation_or_terminal_delivery_and_buffers_quiescent_and_replay_durable
vNext	flow_run	FlowRunId	FlowRunRevision+FlowDefinitionId+DefinitionRevision+SessionRevision+trigger_identity_revision+ordered_active_StepAttempt_revisions+FlowOperationReceipt_revisions+dependency_result_digest	FlowRun,FlowRunTrigger,StepAttempt,FlowOperationReceipt,DependencyResult,ProgressUpdate,Resource,ResourceRevision	nonterminal_or_reconcile_run_or_terminal_with_live_uncertain_child	allocate_before_first_run_effect	child_runtime_effects_use_canonical_node_or_launch_rule_and_never_inherit_flow_coordinator	terminal_run_and_every_child_classified_and_replay_durable
vNext	media_import	MediaImportId	intent_revision+MediaImportStreamId_generation+source_descriptor_identity_hash+preassigned_NodeId_MediaBlobId_blob_generation+destination_graph_revisions	MediaImportIntent,MediaImportReceipt	reading_or_validated_or_committing_or_reconcile_required	allocate_before_source_read_or_chunk	none	committed_or_cancelled_or_refused_or_failed_and_buffers_quiescent_and_replay_durable
vNext	native_job_create	NativeJobCreationId	NodeId+intent_revision+destination_graph_revisions+profile_target_namespace_adapter_generations+creation_correlation	NativeJobCreateIntent	prepared_or_dispatching_or_reconcile_required	allocate_before_provider_effect	bound_or_retained_creation_view_transfers_to_native_job_projection	cancelled_or_proved_not_created_without_view_and_replay_durable
vNext	native_job_mutation	NativeJobMutationIntentId	intent_revision+tagged_job_invocation_or_iteration_subject+job_presence_iteration_revisions+profile_target_adapter_generations+lookup_correlation	NativeJobMutationIntent,NativeJobInvocationReceipt	prepared_or_dispatching_or_submitted_or_reconcile_required	inherit(native_job_projection)_before_provider_effect	none	resolved_or_not_applied_and_receipt_replay_durable
vNext	native_job_projection	NodeId+NativeJobProjectionSubject	projection_presence_revisions+profile_target_namespace_adapter_generations+provider_job_incarnation	NativeJobProjection,NativeJob,NativeJobIteration	provider_owned_job_or_retained_creation_projection_including_forgotten	allocate_before_adopt_or_publish_or_transfer(native_job_create)	none	explicit_local_data_delete_with_provider_and_intents_terminal_and_visibility_nonreuse_replay_fences_durable
