schema_version	capability_ref	operation	direction	effect_class	authority_class	state_streams	fence_derivation	idempotency_fingerprint	local_dispatch	remote_policy	remote_role_predicate
vNext	CAP-105	apply_pty_capacity_remediation	client_request	domain_mutation	local_desktop_foreground	ExecutionTarget(subject_target)	request:target+trust+target_generation+prepared_intent_revision+review_digest+observation_revision+provider_capability_revision+provider_policy_revision;daemon:reread_kernel_ceiling+persistent_config_identity_hash_or_absence+fixed_helper_provider_identity+terminal_journal_correlation_recovery_rollback_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-105	cancel_pty_capacity_remediation	client_request	domain_mutation	local_desktop_foreground	ExecutionTarget(subject_target)	request:target+generation+prepared_intent_revision	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-105	get_pty_capacity	client_request	pure_read	scoped_read	ExecutionTarget(subject_target)	request:target+trust+generation+known_observation_revision	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-105	prepare_pty_capacity_remediation	client_request	domain_mutation	local_desktop_foreground	ExecutionTarget(subject_target)	request:target+trust+target_generation+observation_revision+provider_capability_revision+provider_policy_revision;daemon:remediation_intent_id+current_kernel_ceiling+persistent_config_identity_hash_or_absence+fixed_helper_provider_identity+proposed_ceiling+intent_receipt_replay_journal_correlation_recovery_rollback_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-105	reconcile_pty_capacity_remediation	client_request	domain_mutation	local_desktop_foreground	ExecutionTarget(subject_target)	request:target+target_generation+nonterminal_intent_revision+original_receipt+provider_correlation;daemon:exact_kernel_reread+persistent_config_identity_hash_or_absence+fixed_helper_provider_identity+provider_journal_rollback_proof	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-106	get_conversation_profile_rebind	client_request	pure_read	scoped_read	Installation+Workspace(owner_workspace)+ExecutionTarget(subject_target)	request:receipt_or_original_operation+authorised_subject_scope	canonical_request_v1	native_scoped	deny	none
vNext	CAP-106	get_runtime_continuity	client_request	pure_read	scoped_read	Workspace(subject_workspace)+ExecutionTarget(subject_target)	request:node+instance+authorised_subject_scope	canonical_request_v1	native_scoped	allow_if_invited	full_gui_or_headless_status
vNext	CAP-106	get_runtime_endpoint_continuity_operation	client_request	pure_read	scoped_read	Installation+Workspace(derived_binding_owners)+ExecutionTarget(subject_target)	request:receipt_or_original_operation+authorised_endpoint_scope	canonical_request_v1	native_scoped	deny	none
vNext	CAP-106	rebind_runtime_endpoint_conversation_profile	client_request	domain_mutation	local_desktop_foreground	Installation+Workspace(owner_workspace)+ExecutionTarget(subject_target)	request:preassigned_ConversationProfileRebindReceiptId+preassigned_new_RuntimeEndpointBindingId+endpoint+root+thread+scope+binding+owner+target+proof+profile+grant+ownership_registry_revisions;daemon:new_profiled_key+request_buffer+rich_receipt+minimal_fence_capacity	operation_id+canonical_request_v1	native_local_foreground	deny	none
vNext	CAP-106	reconcile_conversation_profile_rebind	client_request	pure_read	scoped_read	Installation+Workspace(owner_workspace)+ExecutionTarget(subject_target)	request:receipt_fingerprint+old_new_binding+ownership_registry_revisions	canonical_request_v1	native_scoped	deny	none
